player_id,first_name,last_name,display_name,short_name,country,country_flag,amateur,position,total,total_sort,thru,score,score_sort,current_round,player_state,tee_time,course_id,group_number,back_nine,movement_direction,movement_amount,total_strokes,official,projected,round_1,round_2,round_3,round_4
59095,Chris,Gotterup,Chris Gotterup,C. Gotterup,USA,USA,False,1,-20,-20.0,F,-9,-9.0,4.0,COMPLETE,,669,22.0,False,UP,11,264,12,6,66,68,68,62
39977,Max,Homa,Max Homa,M. Homa,USA,USA,False,2,-19,-19.0,F,-7,-7.0,4.0,COMPLETE,,669,24.0,False,UP,6,265,72,49,67,66,68,64
25900,Lucas,Glover,Lucas Glover,L. Glover,USA,USA,False,T3,-18,-18.0,F,-2,-2.0,4.0,COMPLETE,,669,27.0,False,DOWN,-2,266,119,88,63,65,69,69
54628,Lee,Hodges,Lee Hodges,L. Hodges,USA,USA,False,T3,-18,-18.0,F,-2,-2.0,4.0,COMPLETE,,669,27.0,False,DOWN,-2,266,123,92,64,66,67,69
36884,Ben,Kohles,Ben Kohles,B. Kohles,USA,USA,False,T3,-18,-18.0,F,-3,-3.0,4.0,COMPLETE,,669,27.0,False,CONSTANT,0,266,140,100,65,67,66,68
59143,Mac,Meissner,Mac Meissner,M. Meissner,USA,USA,False,T6,-17,-17.0,F,-7,-7.0,4.0,COMPLETE,,669,21.0,False,UP,13,267,79,68,67,70,66,64
60019,Jackson,Suber,Jackson Suber,J. Suber,USA,USA,False,T6,-17,-17.0,F,-2,-2.0,4.0,COMPLETE,,669,26.0,False,DOWN,-3,267,85,78,68,64,66,69
52375,Doug,Ghim,Doug Ghim,D. Ghim,USA,USA,False,T6,-17,-17.0,F,-3,-3.0,4.0,COMPLETE,,669,26.0,False,CONSTANT,0,267,98,87,69,65,65,68
51287,Ryo,Hisatsune,Ryo Hisatsune,R. Hisatsune,JPN,JPN,False,T9,-16,-16.0,F,-4,-4.0,4.0,COMPLETE,,669,24.0,False,DOWN,-1,268,43,38,67,65,69,67
24024,Zach,Johnson,Zach Johnson,Z. Johnson,USA,USA,False,T9,-16,-16.0,F,-3,-3.0,4.0,COMPLETE,,669,25.0,False,DOWN,-2,268,200,160,64,70,66,68
40058,Zac,Blair,Zac Blair,Z. Blair,USA,USA,False,T9,-16,-16.0,F,-1,-1.0,4.0,COMPLETE,,669,26.0,False,DOWN,-6,268,160,132,63,68,67,70
45522,Christiaan,Bezuidenhout,Christiaan Bezuidenhout,C. Bezuidenhout,RSA,RSA,False,T12,-15,-15.0,F,-6,-6.0,4.0,COMPLETE,,669,17.0,False,UP,15,269,95,89,68,68,68,65
45609,Tyler,Duncan,Tyler Duncan,T. Duncan,USA,USA,False,T12,-15,-15.0,F,-5,-5.0,4.0,COMPLETE,,669,19.0,False,UP,7,269,188,162,66,66,71,66
66417,Blades,Brown,Blades Brown,B. Brown,USA,USA,False,T12,-15,-15.0,F,-4,-4.0,4.0,COMPLETE,,669,24.0,False,CONSTANT,0,269,-,-,69,66,67,67
45242,Kevin,Yu,Kevin Yu,K. Yu,TPE,TPE,False,T15,-14,-14.0,F,-5,-5.0,4.0,COMPLETE,,669,17.0,False,UP,12,270,128,115,66,72,66,66
36799,Stephan,Jaeger,Stephan Jaeger,S. Jaeger,GER,GER,False,T15,-14,-14.0,F,-5,-5.0,4.0,COMPLETE,,669,18.0,False,UP,12,270,80,75,64,72,68,66
