stat_id,stat_name,category,subcategory
02675,SG: Total,Strokes Gained,Strokes Gained Leaders
02674,SG: Tee-to-Green,Strokes Gained,Strokes Gained Leaders
02567,SG: Off-the-Tee,Strokes Gained,Strokes Gained Leaders
02568,SG: Approach the Green,Strokes Gained,Strokes Gained Leaders
02569,SG: Around-the-Green,Strokes Gained,Strokes Gained Leaders
02564,SG: Putting,Strokes Gained,Strokes Gained Leaders
129,Total Driving,Off The Tee,Driving Leaders
101,Driving Distance,Off The Tee,Driving Leaders
102,Driving Accuracy Percentage,Off The Tee,Driving Leaders
02402,Ball Speed,Off The Tee,Driving Leaders
159,Longest Drives,Off The Tee,Distance (All Drives)
496,Driving Pct. 320+ (Measured),Off The Tee,Distance (All Drives)
495,Driving Pct. 300-320 (Measured),Off The Tee,Distance (All Drives)
454,Driving Pct. 300+ (Measured),Off The Tee,Distance (All Drives)
455,Driving Pct. 280-300 (Measured),Off The Tee,Distance (All Drives)
456,Driving Pct. 260-280 (Measured),Off The Tee,Distance (All Drives)
457,Driving Pct. 240-260 (Measured),Off The Tee,Distance (All Drives)
458,Driving Pct. <= 240 (Measured),Off The Tee,Distance (All Drives)
317,Driving Distance - All Drives,Off The Tee,Distance (All Drives)
02433,Driving Pct. 320+ (All Drives),Off The Tee,Distance (All Drives)
02432,Driving Pct. 300-320 (All Drives),Off The Tee,Distance (All Drives)
214,Driving Pct. 300+ (All Drives),Off The Tee,Distance (All Drives)
215,Driving Pct. 280-300 (All Drives),Off The Tee,Distance (All Drives)
216,Driving Pct. 260-280 (All Drives),Off The Tee,Distance (All Drives)
217,Driving Pct. 240-260 (All Drives),Off The Tee,Distance (All Drives)
218,Driving Pct. <= 240 (All Drives),Off The Tee,Distance (All Drives)
02341,Percentage of Yardage covered by Tee Shots,Off The Tee,Distance (All Drives)
02342,Percentage of Yardage covered by Tee Shots - Par 4's,Off The Tee,Distance (All Drives)
02343,Percentage of Yardage covered by Tee Shots - Par 5's,Off The Tee,Distance (All Drives)
02435,Rough Tendency,Off The Tee,Accuracy
459,Left Rough Tendency,Off The Tee,Accuracy
460,Right Rough Tendency,Off The Tee,Accuracy
080,Right Rough Tendency (RTP Score),Off The Tee,Accuracy
081,Left Rough Tendency (RTP Score),Off The Tee,Accuracy
01008,Fairway Bunker Tendency,Off The Tee,Accuracy
461,Missed Fairway Percent - Other,Off The Tee,Accuracy
213,Hit Fairway Percentage,Off The Tee,Accuracy
02420,Distance from Edge of Fairway,Off The Tee,Accuracy
02421,Distance from Center of Fairway,Off The Tee,Accuracy
02422,Left Tendency,Off The Tee,Accuracy
02423,Right Tendency,Off The Tee,Accuracy
02438,Good Drive Percentage,Off The Tee,Accuracy
02401,Club Head Speed,Off The Tee,Radar
02403,Smash Factor,Off The Tee,Radar
02404,Launch Angle,Off The Tee,Radar
02405,Spin Rate,Off The Tee,Radar
02406,Distance to Apex,Off The Tee,Radar
02407,Apex Height,Off The Tee,Radar
02408,Hang Time,Off The Tee,Radar
02409,Carry Distance,Off The Tee,Radar
02410,Carry Efficiency,Off The Tee,Radar
02411,Total Distance Efficiency,Off The Tee,Radar
02412,Total Driving Efficiency,Off The Tee,Radar
158,Ball Striking,Approach the Green,Approach Leaders
103,Greens in Regulation Percentage,Approach the Green,Approach Leaders
331,Proximity to Hole,Approach the Green,Approach Leaders
02331,Approaches from > 100 yards,Approach the Green,Approach Leaders
02329,Approaches from inside 100 yards,Approach the Green,Approach Leaders
02437,Greens or Fringe in Regulation,Approach the Green,Greens in Regulation
326,GIR Percentage - 200+ yards,Approach the Green,Greens in Regulation
327,GIR Percentage - 175-200 yards,Approach the Green,Greens in Regulation
328,GIR Percentage - 150-175 yards,Approach the Green,Greens in Regulation
329,GIR Percentage - 125-150 yards,Approach the Green,Greens in Regulation
330,GIR Percentage - < 125 yards,Approach the Green,Greens in Regulation
077,GIR Percentage - 100-125 yards,Approach the Green,Greens in Regulation
02332,GIR Percentage - 100+ yards,Approach the Green,Greens in Regulation
02330,GIR Percentage - < 100 yards,Approach the Green,Greens in Regulation
078,GIR Percentage - 75-100 yards,Approach the Green,Greens in Regulation
079,GIR Percentage - < 75 yards,Approach the Green,Greens in Regulation
190,GIR Percentage from Fairway,Approach the Green,Greens in Regulation
02434,GIR Pct. - Fairway Bunker,Approach the Green,Greens in Regulation
199,GIR Percentage from Other than Fairway,Approach the Green,Greens in Regulation
02361,Approaches from > 275 yards,Approach the Green,Accuracy from Fairway
02360,Approaches from 250-275 yards,Approach the Green,Accuracy from Fairway
02359,Approaches from 225-250 yards,Approach the Green,Accuracy from Fairway
02358,Approaches from 200-225 yards,Approach the Green,Accuracy from Fairway
336,Approaches from > 200 yards,Approach the Green,Accuracy from Fairway
337,Approaches from 175-200 yards,Approach the Green,Accuracy from Fairway
338,Approaches from 150-175 yards,Approach the Green,Accuracy from Fairway
339,Approaches from 125-150 yards,Approach the Green,Accuracy from Fairway
340,Approaches from 50-125 yards,Approach the Green,Accuracy from Fairway
074,Approaches from 100-125 yards,Approach the Green,Accuracy from Fairway
