stat_id,stat_name,category_id,category,subcategory
2-1-17,Lowest 9-Hole Score,SCORING,Scoring,Round-By-Round Scoring
2-1-11,Lowest 18-Hole Score,SCORING,Scoring,Round-By-Round Scoring
2-1-10,Lowest 36-Hole Score (Opening),SCORING,Scoring,Round-By-Round Scoring
2-1-35,Lowest 36-Hole Score (Consecutive),SCORING,Scoring,Round-By-Round Scoring
2-1-9,Lowest 54-Hole Score (Opening),SCORING,Scoring,Round-By-Round Scoring
2-1-365,Lowest 54-Hole Score (Consecutive),SCORING,Scoring,Round-By-Round Scoring
2-1-6,Low Score in 72-Hole Event,SCORING,Scoring,Round-By-Round Scoring
2-1-18,Most Strokes Under Par in 72-Hole Event (Since 1950),SCORING,Scoring,Round-By-Round Scoring
2-1-31,Most Birdies in 72-Hole Event,SCORING,Scoring,Round-By-Round Scoring
2-10-23,Longest Birdie Streak,SCORING,Scoring,In-Round Scoring Records
2-10-25,Longest Birdie-Eagle Streak,SCORING,Scoring,In-Round Scoring Records
2-10-29,Longest Birdie Streak to Win,SCORING,Scoring,In-Round Scoring Records
2-12-89,Fewest Putts (18 Holes),SCORING,Scoring,Putting Records
2-12-90,Fewest Putts (72 Holes),SCORING,Scoring,Putting Records
2-12-91,Fewest Putts (9 Holes),SCORING,Scoring,Putting Records
2-13-453,Last to Make Back-to-Back Eagles,SCORING,Scoring,The Last Time
2-13-454,Last to Make Back-to-Back Eagles to Start a Round,SCORING,Scoring,The Last Time
2-13-450,Last to Make Four Eagles in One Round,SCORING,Scoring,The Last Time
2-13-455,Last to Make a Triple Bogey in Final Round and go on to Win,SCORING,Scoring,The Last Time
2-13-456,Last to Make a Quadruple Bogey and go on to Win,SCORING,Scoring,The Last Time
2-13-451,Last to Make Double Eagle and Hole-in-One in Same Round,SCORING,Scoring,The Last Time
2-13-457,Last Time two Double Eagles in the Same Tournament,SCORING,Scoring,The Last Time
2-13-458,"Last to Make a Hole-in-One, Eagle-2 and Eagle-3 in the Same Tournament",SCORING,Scoring,The Last Time
2-13-452,"Last to Make a 2, 3, 4, 5 on Par-5s in Same Round",SCORING,Scoring,The Last Time
2-13-542,Last Amateur to Shoot 60 or Better,SCORING,Scoring,The Last Time
2-13-700,Last to Shoot his Age,SCORING,Scoring,The Last Time
2-14-727,Most Career Wins (Top 50),WINS_FINISHES,Wins & Finishes,Wins
2-14-51,Most Wins in One Season,WINS_FINISHES,Wins & Finishes,Wins
2-14-71,Most Wins at One Tournament,WINS_FINISHES,Wins & Finishes,Wins
2-14-162,Most Wins at One Course,WINS_FINISHES,Wins & Finishes,Wins
2-14-425,Most Wins by Season,WINS_FINISHES,Wins & Finishes,Wins
2-14-50,Longest Win Streak (Starts),WINS_FINISHES,Wins & Finishes,Wins
2-14-726,Longest Win Streak (Weeks),WINS_FINISHES,Wins & Finishes,Wins
2-14-160,Longest Win Streak (Tournament),WINS_FINISHES,Wins & Finishes,Wins
2-14-53,First Two Career Wins in Same Tournament,WINS_FINISHES,Wins & Finishes,Wins
2-14-49,Most Consecutive Seasons with a Win,WINS_FINISHES,Wins & Finishes,Wins
2-14-897,Most Consecutive Seasons with a Win to Start a Career,WINS_FINISHES,Wins & Finishes,Wins
2-14-68,Largest Winning Margin,WINS_FINISHES,Wins & Finishes,Wins
2-14-65,Largest Final-Round Comeback,WINS_FINISHES,Wins & Finishes,Wins
2-14-52,Longest Time Between First and Last Win at Same Tournament,WINS_FINISHES,Wins & Finishes,Wins
2-14-159,Longest Time Between First and Second Win at Same Tournament,WINS_FINISHES,Wins & Finishes,Wins
2-14-55,Longest Time Between First and Last Wins,WINS_FINISHES,Wins & Finishes,Wins
2-14-75,Longest Time Between Wins,WINS_FINISHES,Wins & Finishes,Wins
2-15-61,Youngest Winners (Since 1900),WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-62,Oldest Winners,WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-57,Most Wins by Players before Age 23,WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-56,Most Wins by Players before Age 30,WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-58,Most Wins by Players in Their 30s,WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-59,Most Wins by Players after Age 40,WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-728,Most Consecutive Tournaments Won by Players in Their 20s (Since 1970),WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-63,Oldest First-Time Winners (Since 1970),WINS_FINISHES,Wins & Finishes,Winners By Age
2-15-60,Youngest to Win Five Tournaments,WINS_FINISHES,Wins & Finishes,Winners By Age
